Name,Voxel Count
Ventral medial nucleus of the thalamus,665.0
Ventral posterolateral nucleus of the thalamus,923.0
"Ventral posterolateral nucleus of the thalamus, parvicellular part",64.0
Ventral posteromedial nucleus of the thalamus,1301.0
"Ventral posteromedial nucleus of the thalamus, parvicellular part",157.0
Posterior complex of the thalamus,1102.0
Posterior limiting nucleus of the thalamus,155.0
Peripeduncular nucleus,111.0
"Medial geniculate complex, dorsal part",206.0
Perireunensis nucleus,23.0
"Medial geniculate complex, ventral part",446.0
"Medial geniculate complex, medial part",175.0
"Anteromedial nucleus, dorsal part",359.0
"Anteromedial nucleus, ventral part",99.0
Interanterodorsal nucleus of the thalamus,80.0
Interanteromedial nucleus of the thalamus,44.0
Posterior triangular thalamic nucleus,0.0
Medial geniculate complex,0.0
Anteromedial nucleus,0.0
Nucleus of reuniens,0.0
Intermediate geniculate nucleus,0.0
